,path,latency,noise,snr
305,B ->F ->D ->C ,0.00800553828475565,0.0015999999999999999,27.958800173440753
306,B ->F ->D ->C ->A ,0.00800553828475565,0.0015999999999999999,27.958800173440753
307,B ,0.00800553828475565,0.0015999999999999999,27.958800173440753
308,B ->F ,0.00800553828475565,0.0015999999999999999,27.958800173440753
309,B ->F ->D ,0.00800553828475565,0.0015999999999999999,27.958800173440753
310,B ->F ->D ->E ,0.00800553828475565,0.0015999999999999999,27.958800173440753
311,B ->F ->D ->E ->C ,0.00800553828475565,0.0015999999999999999,27.958800173440753
312,B ->F ->D ->E ->C ->A ,0.00800553828475565,0.0015999999999999999,27.958800173440753
313,B ,0.00800553828475565,0.0015999999999999999,27.958800173440753
314,B ->F ,0.00800553828475565,0.0015999999999999999,27.958800173440753
315,B ->F ->E ,0.00800553828475565,0.0015999999999999999,27.958800173440753
316,B ->F ->E ->C ,0.00800553828475565,0.0015999999999999999,27.958800173440753
317,B ->F ->E ->C ->A ,0.00800553828475565,0.0015999999999999999,27.958800173440753
318,B ,0.01000692285594456,0.002,26.989700043360187
319,B ->F ,0.01000692285594456,0.002,26.989700043360187
320,B ->F ->E ,0.01000692285594456,0.002,26.989700043360187
321,B ->F ->E ->C ,0.01000692285594456,0.002,26.989700043360187
322,B ->F ->E ->C ->D ,0.01000692285594456,0.002,26.989700043360187
323,B ->F ->E ->C ->D ->A ,0.01000692285594456,0.002,26.989700043360187
324,B ,0.007004845999161193,0.0014000000000000002,28.53871964321762
325,B ->F ,0.007004845999161193,0.0014000000000000002,28.53871964321762
326,B ->F ->E ,0.007004845999161193,0.0014000000000000002,28.53871964321762
327,B ->F ->E ->D ,0.007004845999161193,0.0014000000000000002,28.53871964321762
328,B ->F ->E ->D ->A ,0.007004845999161193,0.0014000000000000002,28.53871964321762
329,B ,0.010006922855944561,0.002,26.989700043360187
330,B ->F ,0.010006922855944561,0.002,26.989700043360187
331,B ->F ->E ,0.010006922855944561,0.002,26.989700043360187
332,B ->F ->E ->D ,0.010006922855944561,0.002,26.989700043360187
333,B ->F ->E ->D ->C ,0.010006922855944561,0.002,26.989700043360187
334,B ->F ->E ->D ->C ->A ,0.010006922855944561,0.002,26.989700043360187
335,B ,0.004002769142377825,0.0008,30.969100130080562
336,B ->A ,0.004002769142377825,0.0008,30.969100130080562
337,B ->A ->C ,0.004002769142377825,0.0008,30.969100130080562
338,B ,0.006004153713566737,0.0012000000000000001,29.208187539523752
339,B ->A ,0.006004153713566737,0.0012000000000000001,29.208187539523752
340,B ->A ->D ,0.006004153713566737,0.0012000000000000001,29.208187539523752
341,B ->A ->D ->C ,0.006004153713566737,0.0012000000000000001,29.208187539523752
342,B ,0.006004153713566737,0.0012000000000000001,29.208187539523752
343,B ->A ,0.006004153713566737,0.0012000000000000001,29.208187539523752
344,B ->A ->D ,0.006004153713566737,0.0012000000000000001,29.208187539523752
345,B ->A ->D ->E ,0.006004153713566737,0.0012000000000000001,29.208187539523752
346,B ->A ->D ->E ->C ,0.006004153713566737,0.0012000000000000001,29.208187539523752
347,B ,0.011507961284336246,0.0023,26.38272163982407
348,B ->A ,0.011507961284336246,0.0023,26.38272163982407
349,B ->A ->D ,0.011507961284336246,0.0023,26.38272163982407
350,B ->A ->D ->F ,0.011507961284336246,0.0023,26.38272163982407
351,B ->A ->D ->F ->E ,0.011507961284336246,0.0023,26.38272163982407
352,B ->A ->D ->F ->E ->C ,0.011507961284336246,0.0023,26.38272163982407
353,B ,0.004002769142377825,0.0008,30.969100130080562
354,B ->D ,0.004002769142377825,0.0008,30.969100130080562
355,B ->D ->A ,0.004002769142377825,0.0008,30.969100130080562
356,B ->D ->A ->C ,0.004002769142377825,0.0008,30.969100130080562
357,B ,0.004002769142377825,0.0008,30.969100130080562
358,B ->D ,0.004002769142377825,0.0008,30.969100130080562
